Test sample: 0, Best fit sample: 87864, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 253, Best fit sample: 94272, Predicted cost: 0.000000, Actual cost: 2.206598, Square loss: 4.869074
Test sample: 254, Best fit sample: 94272, Predicted cost: 0.000000, Actual cost: 3.012846, Square loss: 9.077240
Test sample: 255, Best fit sample: 10971, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 256, Best fit sample: 69984, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 257, Best fit sample: 45639, Predicted cost: 0.000000, Actual cost: 6.907755, Square loss: 47.717084
Test sample: 258, Best fit sample: 504, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 259, Best fit sample: 36115, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 260, Best fit sample: 2159, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 261, Best fit sample: 97920, Predicted cost: 0.000089, Actual cost: 6.907755, Square loss: 47.715856
Test sample: 262, Best fit sample: 97920, Predicted cost: 0.000089, Actual cost: 6.920285, Square loss: 47.889117
Test sample: 263, Best fit sample: 25574, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 264, Best fit sample: 44363, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 265, Best fit sample: 8502, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 266, Best fit sample: 44364, Predicted cost: 0.017173, Actual cost: 0.017173, Square loss: 0.000000
Test sample: 267, Best fit sample: 98767, Predicted cost: 0.117543, Actual cost: 0.050929, Square loss: 0.004437
Test sample: 268, Best fit sample: 423, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 269, Best fit sample: 6827, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 270, Best fit sample: 73671, Predicted cost: 0.003553, Actual cost: 0.000656, Square loss: 0.000008
Test sample: 271, Best fit sample: 73671, Predicted cost: 0.003553, Actual cost: 0.002838, Square loss: 0.000001
Test sample: 272, Best fit sample: 836, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 273, Best fit sample: 3559, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 274, Best fit sample: 573, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 275, Best fit sample: 38739, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 276, Best fit sample: 38740, Predicted cost: 0.029077, Actual cost: 0.045416, Square loss: 0.000267
Test sample: 277, Best fit sample: 75095, Predicted cost: 1.172772, Actual cost: 0.045421, Square loss: 1.270921
Test sample: 278, Best fit sample: 53, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 279, Best fit sample: 29489, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 280, Best fit sample: 153, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 281, Best fit sample: 66437, Predicted cost: 0.000000, Actual cost: 6.907755, Square loss: 47.717084
Test sample: 282, Best fit sample: 24197, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 283, Best fit sample: 1571, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 284, Best fit sample: 1570, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 285, Best fit sample: 1572, Predicted cost: 0.008346, Actual cost: 0.008346, Square loss: 0.000000
Test sample: 286, Best fit sample: 1573, Predicted cost: 0.262139, Actual cost: 0.262139, Square loss: 0.000000
Test sample: 287, Best fit sample: 1574, Predicted cost: 0.262824, Actual cost: 0.262824, Square loss: 0.000000
Test sample: 288, Best fit sample: 26608, Predicted cost: 0.262829, Actual cost: 0.263003, Square loss: 0.000000
Test sample: 289, Best fit sample: 1758, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 290, Best fit sample: 43499, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 291, Best fit sample: 43500, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 292, Best fit sample: 43501, Predicted cost: 0.001199, Actual cost: 0.001199, Square loss: 0.000000
Test sample: 293, Best fit sample: 43502, Predicted cost: 0.069988, Actual cost: 0.069988, Square loss: 0.000000
Test sample: 294, Best fit sample: 76944, Predicted cost: 0.078340, Actual cost: 2.326926, Square loss: 5.056140
Test sample: 295, Best fit sample: 384, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 296, Best fit sample: 70676, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 297, Best fit sample: 11961, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 298, Best fit sample: 41180, Predicted cost: 0.064043, Actual cost: 0.000003, Square loss: 0.004101
Test sample: 299, Best fit sample: 30057, Predicted cost: 0.000027, Actual cost: 5.349688, Square loss: 28.618878
Test sample: 300, Best fit sample: 971, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 301, Best fit sample: 23741, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 302, Best fit sample: 23742, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 303, Best fit sample: 23743, Predicted cost: 0.004552, Actual cost: 0.004552, Square loss: 0.000000
Test sample: 304, Best fit sample: 23744, Predicted cost: 2.716793, Actual cost: 2.716793, Square loss: 0.000000
Test sample: 305, Best fit sample: 84610, Predicted cost: 2.717466, Actual cost: 2.736389, Square loss: 0.000358
Test sample: 306, Best fit sample: 12811, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 307, Best fit sample: 11173, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 308, Best fit sample: 12813, Predicted cost: 1.421042, Actual cost: 0.000055, Square loss: 2.019204
Test sample: 309, Best fit sample: 37891, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 310, Best fit sample: 24556, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 311, Best fit sample: 37892, Predicted cost: 0.000007, Actual cost: 0.000042, Square loss: 0.000000
Test sample: 312, Best fit sample: 173, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 313, Best fit sample: 12720, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 314, Best fit sample: 78701, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 315, Best fit sample: 78700, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 316, Best fit sample: 78702, Predicted cost: 0.000424, Actual cost: 0.000424, Square loss: 0.000000
Test sample: 317, Best fit sample: 78702, Predicted cost: 0.000424, Actual cost: 0.062653, Square loss: 0.003873
Test sample: 318, Best fit sample: 78702, Predicted cost: 0.000424, Actual cost: 1.147409, Square loss: 1.315575
Test sample: 319, Best fit sample: 22781, Predicted cost: 0.000367, Actual cost: 1.330054, Square loss: 1.768068
Test sample: 320, Best fit sample: 43715, Predicted cost: 0.048223, Actual cost: 0.000000, Square loss: 0.002325
Test sample: 321, Best fit sample: 2402, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 322, Best fit sample: 73446, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 323, Best fit sample: 73446, Predicted cost: 0.000000, Actual cost: 6.907755, Square loss: 47.717084
Test sample: 324, Best fit sample: 88964, Predicted cost: 0.014340, Actual cost: 7.369979, Square loss: 54.105433
Test sample: 325, Best fit sample: 94732, Predicted cost: 1.906814, Actual cost: 7.369980, Square loss: 29.846179
Test sample: 326, Best fit sample: 254, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 327, Best fit sample: 21032, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 328, Best fit sample: 10321, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 329, Best fit sample: 21033, Predicted cost: 0.739086, Actual cost: 0.739086, Square loss: 0.000000
Test sample: 330, Best fit sample: 10324, Predicted cost: 0.738114, Actual cost: 0.805995, Square loss: 0.004608
Test sample: 331, Best fit sample: 93771, Predicted cost: 0.366608, Actual cost: 0.807537, Square loss: 0.194418
Test sample: 332, Best fit sample: 52319, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 333, Best fit sample: 514, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 334, Best fit sample: 26939, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 335, Best fit sample: 90090, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 336, Best fit sample: 52320, Predicted cost: 0.000000, Actual cost: 0.021105, Square loss: 0.000445
Test sample: 337, Best fit sample: 52321, Predicted cost: 0.000002, Actual cost: 0.021108, Square loss: 0.000445
Test sample: 338, Best fit sample: 52322, Predicted cost: 0.002870, Actual cost: 0.021135, Square loss: 0.000334
Test sample: 339, Best fit sample: 200, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 340, Best fit sample: 1316, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 341, Best fit sample: 58381, Predicted cost: 0.020899, Actual cost: 0.000000, Square loss: 0.000437
Test sample: 342, Best fit sample: 201, Predicted cost: 0.000684, Actual cost: 0.000684, Square loss: 0.000000
Test sample: 343, Best fit sample: 58382, Predicted cost: 0.020925, Actual cost: 0.000515, Square loss: 0.000417
Test sample: 344, Best fit sample: 94474, Predicted cost: 0.000000, Actual cost: 1.245660, Square loss: 1.551668
Test sample: 345, Best fit sample: 94474, Predicted cost: 0.000000, Actual cost: 2.530727, Square loss: 6.404577
Test sample: 346, Best fit sample: 94475, Predicted cost: 0.668657, Actual cost: 2.883626, Square loss: 4.906089
Test sample: 347, Best fit sample: 94476, Predicted cost: 1.062043, Actual cost: 3.444302, Square loss: 5.675157
Test sample: 348, Best fit sample: 53660, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 349, Best fit sample: 47328, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 350, Best fit sample: 53660, Predicted cost: 0.000000, Actual cost: 6.907755, Square loss: 47.717084
Test sample: 351, Best fit sample: 1513, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 352, Best fit sample: 71351, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 353, Best fit sample: 71351, Predicted cost: 0.000000, Actual cost: 0.000319, Square loss: 0.000000
Test sample: 354, Best fit sample: 71351, Predicted cost: 0.000000, Actual cost: 0.000335, Square loss: 0.000000
Test sample: 355, Best fit sample: 2679, Predicted cost: 0.426410, Actual cost: 5.371300, Square loss: 24.451939
Test sample: 356, Best fit sample: 7528, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 357, Best fit sample: 463, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 358, Best fit sample: 10469, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 359, Best fit sample: 32358, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 360, Best fit sample: 99326, Predicted cost: 0.000000, Actual cost: 1.332641, Square loss: 1.775931
Test sample: 361, Best fit sample: 12, Predicted cost: 0.000000, Actual cost: 1.332753, Square loss: 1.776229
Test sample: 362, Best fit sample: 28456, Predicted cost: 0.000411, Actual cost: 1.333068, Square loss: 1.775974
Test sample: 363, Best fit sample: 1380, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 364, Best fit sample: 69582, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 365, Best fit sample: 23581, Predicted cost: 0.000000, Actual cost: 6.907755, Square loss: 47.717084
Test sample: 366, Best fit sample: 66897, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 367, Best fit sample: 2715, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 368, Best fit sample: 15833, Predicted cost: 0.000000, Actual cost: 0.161106, Square loss: 0.025955
Test sample: 369, Best fit sample: 19015, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 370, Best fit sample: 10585, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 371, Best fit sample: 41312, Predicted cost: 0.005562, Actual cost: 0.047106, Square loss: 0.001726
Test sample: 372, Best fit sample: 30407, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 373, Best fit sample: 26157, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 374, Best fit sample: 56007, Predicted cost: 1.645714, Actual cost: 0.009539, Square loss: 2.677068
Test sample: 375, Best fit sample: 45878, Predicted cost: 2.108526, Actual cost: 6.917295, Square loss: 23.124257
Test sample: 376, Best fit sample: 39195, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 377, Best fit sample: 50796, Predicted cost: 0.016617, Actual cost: 6.907755, Square loss: 47.487788
Test sample: 378, Best fit sample: 5379, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 379, Best fit sample: 713, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 380, Best fit sample: 60119, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 381, Best fit sample: 714, Predicted cost: 0.124012, Actual cost: 0.933841, Square loss: 0.655822
Test sample: 382, Best fit sample: 53103, Predicted cost: 0.007084, Actual cost: 0.934695, Square loss: 0.860461
Test sample: 383, Best fit sample: 32970, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 384, Best fit sample: 62979, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 385, Best fit sample: 47957, Predicted cost: 0.000000, Actual cost: 1.121379, Square loss: 1.257491
Test sample: 386, Best fit sample: 47958, Predicted cost: 0.005185, Actual cost: 1.124302, Square loss: 1.252423
Test sample: 387, Best fit sample: 12732, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 388, Best fit sample: 2352, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 389, Best fit sample: 14193, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 390, Best fit sample: 14194, Predicted cost: 0.370398, Actual cost: 0.370398, Square loss: 0.000000
Test sample: 391, Best fit sample: 38359, Predicted cost: 0.370407, Actual cost: 0.371144, Square loss: 0.000001
Test sample: 392, Best fit sample: 91967, Predicted cost: 0.305991, Actual cost: 1.997637, Square loss: 2.861666
Test sample: 393, Best fit sample: 1415, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 394, Best fit sample: 17502, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 395, Best fit sample: 59246, Predicted cost: 0.000318, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 396, Best fit sample: 76114, Predicted cost: 0.036920, Actual cost: 0.000003, Square loss: 0.001363
Test sample: 397, Best fit sample: 27395, Predicted cost: 0.023382, Actual cost: 0.037148, Square loss: 0.000190
Test sample: 398, Best fit sample: 3846, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 399, Best fit sample: 25808, Predicted cost: 0.000739, Actual cost: 0.000000, Square loss: 0.000001
Test sample: 400, Best fit sample: 184, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 401, Best fit sample: 10385, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 402, Best fit sample: 8489, Predicted cost: 0.000000, Actual cost: 0.694825, Square loss: 0.482782
Test sample: 403, Best fit sample: 16034, Predicted cost: 0.000000, Actual cost: 6.360908, Square loss: 40.461145
Test sample: 404, Best fit sample: 78747, Predicted cost: 0.000279, Actual cost: 6.360996, Square loss: 40.458723
Test sample: 405, Best fit sample: 52363, Predicted cost: 0.000205, Actual cost: 8.099925, Square loss: 65.605473
Test sample: 406, Best fit sample: 63579, Predicted cost: 0.000000, Actual cost: 9.210258, Square loss: 84.828861
Test sample: 407, Best fit sample: 122, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 408, Best fit sample: 30739, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 409, Best fit sample: 30740, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 410, Best fit sample: 1612, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 411, Best fit sample: 30741, Predicted cost: 0.000102, Actual cost: 0.000102, Square loss: 0.000000
Test sample: 412, Best fit sample: 30742, Predicted cost: 0.000926, Actual cost: 0.000926, Square loss: 0.000000
Test sample: 413, Best fit sample: 30742, Predicted cost: 0.000926, Actual cost: 1.815284, Square loss: 3.291896
Test sample: 414, Best fit sample: 42, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 415, Best fit sample: 26908, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 416, Best fit sample: 5173, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 417, Best fit sample: 89, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 418, Best fit sample: 44316, Predicted cost: 1.212016, Actual cost: 0.000000, Square loss: 1.468984
Test sample: 419, Best fit sample: 28211, Predicted cost: 0.000000, Actual cost: 6.907755, Square loss: 47.717084
Test sample: 420, Best fit sample: 28211, Predicted cost: 0.000000, Actual cost: 9.279609, Square loss: 86.111138
Test sample: 421, Best fit sample: 15074, Predicted cost: 0.000000, Actual cost: 9.297889, Square loss: 86.450735
Test sample: 422, Best fit sample: 81703, Predicted cost: 0.033002, Actual cost: 9.298248, Square loss: 85.844794
Test sample: 423, Best fit sample: 89908, Predicted cost: 0.005576, Actual cost: 9.298385, Square loss: 86.356297
Test sample: 424, Best fit sample: 1274, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 425, Best fit sample: 1894, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 426, Best fit sample: 1896, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 427, Best fit sample: 20744, Predicted cost: 0.000113, Actual cost: 0.000113, Square loss: 0.000000
Test sample: 428, Best fit sample: 1898, Predicted cost: 0.000748, Actual cost: 0.070125, Square loss: 0.004813
Test sample: 429, Best fit sample: 20567, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 430, Best fit sample: 7940, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 431, Best fit sample: 414, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 432, Best fit sample: 7941, Predicted cost: 0.000260, Actual cost: 0.000260, Square loss: 0.000000
Test sample: 433, Best fit sample: 7942, Predicted cost: 0.000717, Actual cost: 0.005269, Square loss: 0.000021
Test sample: 434, Best fit sample: 813, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 435, Best fit sample: 6933, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 436, Best fit sample: 9076, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 437, Best fit sample: 29062, Predicted cost: 0.000000, Actual cost: 0.004663, Square loss: 0.000022
Test sample: 438, Best fit sample: 25766, Predicted cost: 0.000000, Actual cost: 4.333167, Square loss: 18.776333
Test sample: 439, Best fit sample: 25766, Predicted cost: 0.000000, Actual cost: 5.627895, Square loss: 31.673201
Test sample: 440, Best fit sample: 54, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 441, Best fit sample: 1238, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 442, Best fit sample: 31988, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 443, Best fit sample: 31991, Predicted cost: 0.071122, Actual cost: 0.071122, Square loss: 0.000000
Test sample: 444, Best fit sample: 31992, Predicted cost: 0.071999, Actual cost: 0.071999, Square loss: 0.000000
Test sample: 445, Best fit sample: 49496, Predicted cost: 0.000000, Actual cost: 0.132821, Square loss: 0.017641
Test sample: 446, Best fit sample: 31994, Predicted cost: 0.086724, Actual cost: 0.242924, Square loss: 0.024398
Test sample: 447, Best fit sample: 3264, Predicted cost: 0.000000, Actual cost: 0.243499, Square loss: 0.059292
Test sample: 448, Best fit sample: 1577, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 449, Best fit sample: 15135, Predicted cost: 0.000000, Actual cost: 6.907755, Square loss: 47.717084
Test sample: 450, Best fit sample: 46615, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 451, Best fit sample: 29442, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 452, Best fit sample: 98512, Predicted cost: 0.060785, Actual cost: 0.063211, Square loss: 0.000006
Test sample: 453, Best fit sample: 485, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 454, Best fit sample: 484, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 455, Best fit sample: 25205, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 456, Best fit sample: 33658, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 457, Best fit sample: 641, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 458, Best fit sample: 486, Predicted cost: 2.937561, Actual cost: 2.937561, Square loss: 0.000000
Test sample: 459, Best fit sample: 46821, Predicted cost: 0.000000, Actual cost: 6.907755, Square loss: 47.717084
Test sample: 460, Best fit sample: 58601, Predicted cost: 0.000000, Actual cost: 6.908225, Square loss: 47.723573
Test sample: 461, Best fit sample: 45846, Predicted cost: 2.485880, Actual cost: 7.495255, Square loss: 25.093839
Test sample: 462, Best fit sample: 45847, Predicted cost: 2.489316, Actual cost: 10.104427, Square loss: 57.989925
Test sample: 463, Best fit sample: 25206, Predicted cost: 0.151291, Actual cost: 10.104856, Square loss: 99.073468
Test sample: 464, Best fit sample: 94676, Predicted cost: 0.000000, Actual cost: 10.355845, Square loss: 107.243535
Test sample: 465, Best fit sample: 25206, Predicted cost: 0.151291, Actual cost: 13.341785, Square loss: 173.989146
Test sample: 466, Best fit sample: 4106, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 467, Best fit sample: 134, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 468, Best fit sample: 1826, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 469, Best fit sample: 8444, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 470, Best fit sample: 8445, Predicted cost: 0.015392, Actual cost: 0.359319, Square loss: 0.118286
Test sample: 471, Best fit sample: 8446, Predicted cost: 0.018946, Actual cost: 0.371303, Square loss: 0.124155
Test sample: 472, Best fit sample: 95015, Predicted cost: 0.019349, Actual cost: 0.371328, Square loss: 0.123889
Test sample: 473, Best fit sample: 984, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 474, Best fit sample: 28684, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 475, Best fit sample: 14286, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 476, Best fit sample: 4600, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 477, Best fit sample: 28685, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 478, Best fit sample: 28686, Predicted cost: 0.081781, Actual cost: 0.081781, Square loss: 0.000000
Test sample: 479, Best fit sample: 7141, Predicted cost: 0.000000, Actual cost: 0.081918, Square loss: 0.006711
Test sample: 480, Best fit sample: 20364, Predicted cost: 0.077198, Actual cost: 0.105194, Square loss: 0.000784
Test sample: 481, Best fit sample: 28689, Predicted cost: 0.123288, Actual cost: 0.367490, Square loss: 0.059635
Test sample: 482, Best fit sample: 28689, Predicted cost: 0.123288, Actual cost: 4.139640, Square loss: 16.131084
Test sample: 483, Best fit sample: 28689, Predicted cost: 0.123288, Actual cost: 4.140660, Square loss: 16.139278
Test sample: 484, Best fit sample: 24635, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 485, Best fit sample: 1925, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 486, Best fit sample: 5349, Predicted cost: 0.000000, Actual cost: 0.000518, Square loss: 0.000000
Test sample: 487, Best fit sample: 23811, Predicted cost: 5.115758, Actual cost: 0.585634, Square loss: 20.522030
Test sample: 488, Best fit sample: 28964, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 489, Best fit sample: 56734, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 490, Best fit sample: 46713, Predicted cost: 0.031240, Actual cost: 0.000159, Square loss: 0.000966
Test sample: 491, Best fit sample: 77343, Predicted cost: 0.000845, Actual cost: 1.165847, Square loss: 1.357228
Test sample: 492, Best fit sample: 4660, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 493, Best fit sample: 12, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 494, Best fit sample: 14, Predicted cost: 0.000000, Actual cost: 6.907755, Square loss: 47.717083
Test sample: 495, Best fit sample: 62596, Predicted cost: 0.000001, Actual cost: 7.673055, Square loss: 58.875750
Test sample: 496, Best fit sample: 51220, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 497, Best fit sample: 7244, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 498, Best fit sample: 2689, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 499, Best fit sample: 51196, Predicted cost: 0.005389, Actual cost: 0.000000, Square loss: 0.000029
Test sample: 500, Best fit sample: 22085, Predicted cost: 0.878320, Actual cost: 6.907755, Square loss: 36.354091
Test sample: 501, Best fit sample: 51196, Predicted cost: 0.005389, Actual cost: 6.907776, Square loss: 47.642950
Test sample: 502, Best fit sample: 51196, Predicted cost: 0.005389, Actual cost: 6.907966, Square loss: 47.645563
Test sample: 503, Best fit sample: 82409, Predicted cost: 0.000556, Actual cost: 8.552287, Square loss: 73.132113
Test sample: 504, Best fit sample: 17960, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 505, Best fit sample: 60787, Predicted cost: 0.000000, Actual cost: 0.000000, Square loss: 0.000000
Test sample: 506, Best fit sample: 54355, Predicted cost: 0.013047, Actual cost: 6.907755, Square loss: 47.537003
